trade_id,side,entry_time,entry_price,exit_time,exit_price,qty,leverage,sl_price,exit_reason,r_multiple,fee_paid,funding_paid,tranche_index,liq_price,period,mfe_R,mae_R,post3,post7,fee_R,fund_R,cost_R,gross_R_est
0,short,2022-01-09 16:30:00+00:00,41739.5,2022-01-09 16:30:00+00:00,42000.0,0.3071017274472168,14.0,42000.0,sl,-1.201,16.106841,0.0,0,44705.99,2022,0.0,-0.6530779581452958,-0.013428571428571429,-0.004761904761904762,0.080534205,0.0,0.080534205,-1.120465795
1,short,2022-01-10 12:30:00+00:00,41464.5,2022-01-10 16:00:00+00:00,41442.6,0.1077241947987385,14.5,41442.6,sl,0.97,3.035593,0.149808,0,44309.82,2022,2.9336180200934048,-1.014080172184816,-0.038943019984267434,-0.021473073600594594,0.015177965,0.00074904,0.015927005,0.985927005
2,short,2022-01-18 20:30:00+00:00,41611.0,2022-01-18 21:00:00+00:00,42240.59,0.1268213375957059,15.0,42240.59,sl,-1.084,6.680291,0.0,0,44371.2,2022,0.14701263081278854,-1.071899786200936,0.16994530616167997,0.1295102648897659,0.033401455000000004,0.0,0.033401455000000004,-1.0505985450000002
3,short,2022-01-23 04:30:00+00:00,35203.0,2022-01-23 09:30:00+00:00,36108.82,0.0873838278147344,13.333333333333332,36108.82,sl,-1.054,3.928328,0.309881,0,37830.02,2022,0.50986241153289,-1.7950212241232835,-0.02857141274624871,-0.06455984992032418,0.019641640000000002,0.001549405,0.021191045000000002,-1.0328089550000001
4,short,2022-01-23 20:30:00+00:00,35072.0,2022-01-23 23:00:00+00:00,36028.5,0.0820558898065949,12.0,36028.5,sl,-1.353,3.704921,0.0,0,37980.05,2022,0.031626040428728894,-2.953680503070984,-0.030864454529053387,-0.06693312238921964,0.018524605,0.0,0.018524605,-1.334475395
5,long,2022-02-16 12:30:00+00:00,44089.0,2022-02-16 13:30:00+00:00,43658.0,0.1801324382689352,14.5,43658.0,sl,-1.127,9.845805,0.0,0,41063.58,2022,0.09300814796090713,-0.829449712962844,-0.12146685601722479,-0.12231435246690182,0.049229025,0.0,0.049229025,-1.077770975
6,long,2022-03-27 00:30:00+00:00,44498.0,2022-03-27 04:30:00+00:00,44517.3,0.2082198046211933,14.0,44517.3,sl,0.252,8.964462,0.0,0,41335.46,2022,0.632987219411922,-0.03550166982381901,0.022321659220123347,0.04634602727478973,0.04482231,0.0,0.04482231,0.29682231
7,long,2022-03-27 04:30:00+00:00,44561.0,2022-03-27 20:00:00+00:00,44686.55,0.1652626640931156,15.5,44686.55,sl,0.424,7.137174,1.477349,1,41700.47,2022,0.6615094906720751,-0.21572601406181696,0.018449622984992062,0.04238299891130546,0.03568587,0.007386745,0.043072615,0.46707261499999997
8,long,2022-03-27 08:30:00+00:00,44590.0,2022-03-27 20:00:00+00:00,44686.55,0.2148915131225568,15.5,44686.55,sl,0.401,9.280989,0.641867,1,41727.61,2022,0.6173590852966864,-0.2593058917485471,0.018449622984992062,0.04238299891130546,0.046404945,0.003209335,0.049614280000000004,0.45061428000000003
9,long,2022-03-27 16:30:00+00:00,44804.0,2022-03-27 20:30:00+00:00,46049.99,0.139401956828624,15.0,44804.0,tp3,1.956,2.521465,0.0,2,41832.0,2022,3.093057264858139,-0.22355834705984123,-0.011704454224637138,0.011520306519067693,0.012607325,0.0,0.012607325,1.968607325
10,long,2022-03-29 04:30:00+00:00,47561.5,2022-03-30 01:30:00+00:00,46802.5,0.0774433992207898,14.083333333333332,46802.5,sl,-1.096,4.542437,1.100436,1,44201.24,2022,0.7165950871106336,-1.4989133922698754,-0.008354254580417712,-0.0721222156936061,0.022712185,0.00550218,0.028214364999999998,-1.0677856350000001
11,long,2022-03-29 08:30:00+00:00,47473.5,2022-03-30 01:30:00+00:00,46802.5,0.0875861218233859,14.416666666666668,46802.5,sl,-1.101,5.135816,0.828757,2,44197.01,2022,0.8425333961438085,-1.3770818953779054,-0.008354254580417712,-0.0721222156936061,0.02567908,0.004143785,0.029822865,-1.071177135
12,long,2022-03-29 00:30:00+00:00,47338.5,2022-03-31 14:00:00+00:00,46488.44,0.0922047907885079,14.75,46488.44,sl,-0.414,3.258307,1.313613,0,44145.16,2022,1.0366443325347101,-1.6167391405352982,0.0019802772474188783,-0.09104284850169207,0.016291535,0.006568065,0.0228596,-0.3911404
13,short,2022-04-21 00:30:00+00:00,41491.5,2022-04-21 01:30:00+00:00,41745.0,0.3040908273058311,14.166666666666668,41745.0,sl,-0.892,12.667314,0.0,0,44405.67,2022,0.06885749263934109,-0.4155752202821409,0.03221942747634447,0.07600910288657324,0.06333657,0.0,0.06333657,-0.82866343
14,short,2022-04-23 12:30:00+00:00,39712.5,2022-04-23 16:00:00+00:00,40006.17,0.2606199774731398,17.166666666666664,40006.17,sl,-1.184,13.017702,1.038962,0,42014.28,2022,0.15742624288165635,-0.5679194030838247,0.020001164820326423,0.03898573645015252,0.06508851,0.005194809999999999,0.07028332,-1.11371668
15,short,2022-04-24 12:30:00+00:00,39567.5,2022-04-24 14:30:00+00:00,39794.0,0.2505214013400084,16.5,39794.0,sl,-1.219,12.450212,0.0,1,41953.54,2022,0.36782453929613373,-0.5895386380404545,0.0014952002814494648,0.03181384128260542,0.062251060000000004,0.0,0.062251060000000004,-1.1567489400000002
16,short,2022-04-24 00:30:00+00:00,39632.5,2022-04-24 18:00:00+00:00,39608.5,0.1824599390942064,15.833333333333332,39608.5,sl,-0.25,5.455441,0.192524,0,42123.09,2022,1.35948202086668,-0.47832056130306144,-0.0031811353623590896,0.027279498087531717,0.027277205000000002,0.00096262,0.028239825000000003,-0.221760175
17,short,2022-04-25 04:30:00+00:00,39090.0,2022-04-25 11:00:00+00:00,38791.3,0.110127064873965,17.916666666666668,38791.3,sl,0.567,4.133338,0.282336,0,41260.86,2022,1.7506668879661924,-0.22958156143760974,0.00565332948367296,0.027269001038892814,0.02066669,0.0014116799999999998,0.02207837,0.58907837
18,short,2022-05-01 04:30:00+00:00,37958.5,2022-05-01 15:30:00+00:00,38541.89,0.1293256581142555,17.916666666666668,38541.89,sl,-1.089,6.21548,0.491172,0,40066.52,2022,0.24528000212898954,-1.224629035900334,0.0523038698932512,0.21997857396199302,0.0310774,0.00245586,0.03353326,-1.05546674
19,short,2022-05-07 20:30:00+00:00,35803.0,2022-05-07 22:30:00+00:00,34807.0,0.1688886408402498,16.5,35803.0,tp3,1.957,2.39626,0.0,2,37962.03,2022,1.988373432091684,-0.012204369507644896,0.16489499238658892,0.10031028241445686,0.011981299999999999,0.0,0.011981299999999999,1.9689813
20,short,2022-05-07 00:30:00+00:00,35957.0,2022-05-07 23:30:00+00:00,35716.65,0.1245439015037119,18.0,35716.65,sl,1.081,3.034686,0.895147,0,37944.62,2022,2.2677687208350186,-0.3327805707408354,0.18616387595141204,0.12322404256838201,0.015173430000000002,0.004475735,0.019649165000000003,1.1006491649999999
21,short,2022-05-07 04:30:00+00:00,35861.5,2022-05-07 23:30:00+00:00,35716.65,0.1229781347901615,17.5,35716.65,sl,1.037,2.996171,0.883893,1,37900.48,2022,2.094789993796089,-0.5126846204055753,0.18616387595141204,0.12322404256838201,0.014980855,0.004419465,0.01940032,1.0564003199999998
22,short,2022-05-08 12:30:00+00:00,34679.5,2022-05-08 18:30:00+00:00,34500.3,0.0855418597892868,12.75,34500.3,sl,0.425,2.851815,0.294384,0,37385.86,2022,1.9645918395248803,-0.04749136661900303,0.159340643414695,0.13467419123891683,0.014259075000000001,0.0014719199999999998,0.015730995,0.440730995
23,short,2022-05-08 16:30:00+00:00,34414.0,2022-05-09 09:00:00+00:00,33720.1,0.0577662564141457,12.0,33720.1,sl,0.759,1.889805,0.325125,1,37267.49,2022,2.507160452331193,-0.7012626430751058,0.13201621584752118,0.09773399248519425,0.009449025,0.001625625,0.01107465,0.77007465
24,short,2022-05-10 08:30:00+00:00,31907.0,2022-05-10 17:30:00+00:00,31523.6,0.0913540925922919,12.833333333333332,31523.6,sl,0.597,2.787997,0.189739,0,34380.83,2022,2.2532855238673153,-1.0081319524735957,0.04607976246367796,0.08976132167645823,0.013939984999999998,0.0009486949999999999,0.014888679999999998,0.61188868
25,short,2022-05-10 12:30:00+00:00,31768.0,2022-05-10 17:30:00+00:00,31523.6,0.0646679083670566,12.0,31523.6,sl,0.479,1.970958,0.134313,1,34402.1,2022,1.969009962125393,-1.306677755628619,0.04607976246367796,0.08976132167645823,0.00985479,0.0006715649999999999,0.010526355000000001,0.48952635499999997
26,short,2022-05-11 04:30:00+00:00,31329.5,2022-05-11 05:00:00+00:00,31789.0,0.1697109253039811,17.666666666666668,31789.0,sl,-1.086,6.728079,0.0,0,33094.0,2022,0.5997216930922945,-1.324966531250418,0.014895089496366668,0.046525527698260405,0.033640395000000003,0.0,0.033640395000000003,-1.0523596050000001
27,short,2022-05-12 16:30:00+00:00,29578.0,2022-05-12 18:00:00+00:00,28672.6,0.1782329145109109,12.0,28672.6,sl,1.65,3.530437,0.0,0,32030.51,2022,2.750033445822386,-0.8568286025413548,-0.04120309982352495,-0.01787071978125463,0.017652185,0.0,0.017652185,1.667652185
28,short,2022-05-28 12:30:00+00:00,28886.0,2022-05-28 12:30:00+00:00,28946.05,1.3043065770267377,16.166666666666668,28946.05,sl,-1.602,47.17749,0.0,0,30663.83,2022,0.024435616591285677,-0.31184501173640766,-0.029121417257276926,-0.033007957907901106,0.23588745,0.0,0.23588745,-1.36611255
29,short,2022-06-04 12:30:00+00:00,29588.5,2022-06-04 14:30:00+00:00,29925.46,0.1720727158789009,13.833333333333334,29925.46,sl,-1.111,6.425098,0.0,1,31716.73,2022,0.27376978061178303,-0.9349067611763381,-0.008906797088499254,0.11221080645042714,0.03212549,0.0,0.03212549,-1.07887451
30,short,2022-06-04 08:30:00+00:00,29716.0,2022-06-05 16:00:00+00:00,30014.17,0.2593170768384952,13.833333333333334,30014.17,sl,0.057,5.774281,0.82329,0,31853.4,2022,0.5610256804807985,-1.086987255931547,-0.0028596492923176537,0.25113704626847916,0.028871405000000003,0.00411645,0.032987855,0.089987855
31,short,2022-06-17 08:30:00+00:00,21217.0,2022-06-17 10:00:00+00:00,20745.9,0.2553767355013998,17.833333333333332,20745.9,sl,1.31,5.148379,0.0,0,22400.79,2022,1.1089334352262776,-0.4372366116035038,0.0014653497799565916,-0.0351924958666531,0.025741895,0.0,0.025741895,1.335741895
32,short,2022-06-17 20:30:00+00:00,20675.0,2022-06-18 06:30:00+00:00,19059.5,0.1441905224840023,13.0,20675.0,tp3,1.981,1.161397,0.298193,0,22257.43,2022,5.485181143934433,-0.30726118441126493,-0.04829612529184921,-0.10349169705396259,0.005806985,0.001490965,0.007297949999999999,1.9882979500000002
33,short,2022-06-18 04:30:00+00:00,20442.0,2022-06-18 06:30:00+00:00,19344.9,0.1592276474301678,18.0,20442.0,tp3,1.978,1.278681,0.0,1,21571.99,2022,4.781480980448501,-0.2976093732672554,-0.03283035838903269,-0.08721161649840518,0.006393405,0.0,0.006393405,1.984393405
34,short,2022-06-20 00:30:00+00:00,20320.5,2022-06-20 03:30:00+00:00,20144.45,0.1597571742582653,12.0,20144.45,sl,0.529,3.113127,0.0,0,22005.41,2022,2.3041361670943097,-0.09924491746278433,-0.05398757474142998,-0.006406230996626826,0.015565635,0.0,0.015565635,0.544565635
35,short,2022-06-29 12:30:00+00:00,20075.0,2022-06-30 16:00:00+00:00,19165.85,0.1487846699088661,12.833333333333332,19165.85,sl,1.527,1.977645,0.882851,0,21631.46,2022,4.599329456659188,-1.1988059304579464,-0.05502756204394804,-0.1264827805706505,0.009888225,0.004414255000000001,0.014302480000000001,1.54130248
36,short,2022-06-29 16:30:00+00:00,20006.0,2022-06-30 16:00:00+00:00,19165.85,0.1124341654264776,12.5,19165.85,sl,1.492,1.49198,0.44222,1,21598.48,2022,4.383340710198811,-1.434792244733532,-0.05502756204394804,-0.1264827805706505,0.0074599,0.0022111,0.009671,1.501671
37,short,2022-07-01 16:30:00+00:00,19395.0,2022-07-03 05:00:00+00:00,19260.45,0.1664958854185824,13.0,19260.45,sl,0.462,3.100411,1.281794,0,20879.46,2022,2.1420031303548175,-1.0346083081082733,-0.12126144508565476,-0.0362945829406893,0.015502054999999999,0.006408970000000001,0.021911025,0.48391102500000005
38,short,2022-07-02 00:30:00+00:00,19308.5,2022-07-03 05:00:00+00:00,19260.45,0.159399329521313,16.5,19260.45,sl,0.353,2.965717,0.919383,1,20472.86,2022,1.8504448343618674,-0.4926395937200455,-0.12126144508565476,-0.0362945829406893,0.014828585,0.004596915,0.0194255,0.37242549999999996
39,short,2022-07-03 08:30:00+00:00,19052.0,2022-07-03 19:30:00+00:00,19389.5,0.1828839142674577,17.0,19389.5,sl,-1.077,4.42019,0.348979,1,20167.1,2022,0.4445814953952623,-1.8330165623637997,-0.1137987054849274,-0.02939735423811857,0.022100949999999998,0.001744895,0.023845844999999997,-1.0531541549999999
40,short,2022-07-03 12:30:00+00:00,19091.0,2022-07-03 19:30:00+00:00,19389.5,0.2067642877724135,17.833333333333332,19389.5,sl,-1.087,4.998976,0.394548,2,20156.17,2022,0.48944909817374455,-1.6919445444063614,-0.1137987054849274,-0.02939735423811857,0.02499488,0.00197274,0.02696762,-1.06003238
41,short,2022-07-02 04:30:00+00:00,19181.0,2022-07-04 11:30:00+00:00,19693.5,0.1197366801002159,13.0,19693.5,sl,-0.571,1.744788,1.149019,2,20649.08,2022,1.4158965703946849,-2.3586593858307503,-0.09630080991189986,0.018787924949856552,0.00872394,0.005745095,0.014469035,-0.556530965
42,short,2022-07-12 12:30:00+00:00,19891.0,2022-07-13 02:00:00+00:00,19517.9,0.1928602829861544,14.583333333333332,19517.9,sl,0.873,3.652545,0.633048,0,21248.13,2022,2.2693987412575782,-0.38527394862749653,-0.06563718432823196,-0.18575768909565057,0.018262725,0.00316524,0.021427965,0.894427965
43,long,2022-07-29 08:30:00+00:00,23929.5,2022-07-30 19:30:00+00:00,24290.75,0.1251622676560615,12.0,24290.75,sl,-0.155,2.241558,0.595075,0,21945.35,2022,2.150467982098902,-1.4369227600830679,-0.060835914905879813,-0.046262466165104,0.01120779,0.002975375,0.014183165000000001,-0.140816835
44,long,2022-07-30 12:30:00+00:00,24155.0,2022-07-30 19:30:00+00:00,24290.75,0.1172124099672013,13.5,24290.75,sl,0.459,2.7521,0.19158,1,22374.69,2022,1.5028240205110808,-0.8599493006257851,-0.060835914905879813,-0.046262466165104,0.0137605,0.0009579,0.0147184,0.47371840000000004
45,long,2022-08-09 00:30:00+00:00,23821.0,2022-08-09 09:30:00+00:00,23518.62,0.2700178266649207,14.166666666666668,23518.62,sl,-1.105,7.954388,0.643155,0,22147.93,2022,0.2511605512389954,-0.9905320616279482,0.03832622832462113,-0.00814758689072739,0.03977194,0.003215775,0.042987714999999996,-1.062012285
46,long,2022-08-15 04:30:00+00:00,24753.0,2022-08-15 06:30:00+00:00,24109.0,0.125661765966184,12.583333333333334,24109.0,sl,-1.047,3.80316,0.0,0,22795.71,2022,0.6001859738373186,-1.8820311306301438,-0.13646356132564602,-0.10753245675888673,0.0190158,0.0,0.0190158,-1.0279842
